Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Central Narmada Valley,Sugarcane,29.9,76.8,82.8,0
Central Narmada Valley,Wheat,25.3,39.1,7.4,0
Northern Hill Region of Chhattisgarh,Niger,32.7,87.1,3.2,1
Satpura Highlands,Paddy,30.4,98.6,10.7,1
Chhattisgarh Plains,Paddy,30.7,80.6,46.9,0
Chhattisgarh Plains,Paddy,23.8,89.5,5.8,1
Jhabua Hills,Soybean,31.2,81.8,23.1,0
Kymore Plateau & Satpura Hills,Soybean,30.1,82.8,82.3,0
Nimar Plains,Cotton,27.4,72.8,3.8,0
Northern Hill Region of Chhattisgarh,Wheat,14.4,53.7,8.3,0
Chhattisgarh Plains,Flaxseed,26.2,36.5,3.9,0
Bundelkhand,Gram,15.8,81.3,0.7,1
Chhattisgarh Plains,Kodo-Kutki,30.0,60.5,28.5,0
Central Narmada Valley,Soybean,29.3,96.5,19.8,1
Chambal Valley,Wheat,19.7,66.8,11.4,0
Malwa Plateau,Cotton,30.0,82.2,12.4,0
Nimar Plains,Wheat,19.9,84.2,2.6,1
Nimar Plains,Wheat,17.9,25.7,4.5,0
Central Narmada Valley,Soybean,31.7,80.2,35.4,0
Jhabua Hills,Black Gram,26.2,90.0,25.6,1
Chhattisgarh Plains,Kodo-Kutki,30.0,98.7,0.3,0
Satpura Highlands,Maize,28.0,85.6,18.1,1
Central Narmada Valley,Wheat,17.2,28.1,11.3,0
Vindhyan Plateau,Paddy,30.0,87.4,18.0,1
Chambal Valley,Mustard,11.5,43.7,4.9,1
Vindhyan Plateau,Paddy,35.5,65.1,6.9,0
Vindhyan Plateau,Gram,12.4,50.5,0.2,0
Malwa Plateau,Soybean,28.4,88.2,75.1,1
Chhattisgarh Plains,Flaxseed,10.9,38.6,9.2,0
Kymore Plateau & Satpura Hills,Gram,27.1,42.0,8.7,0
Bundelkhand,Jowar,27.4,70.5,8.8,0
Nimar Plains,Soybean,19.6,82.4,41.6,1
Vindhyan Plateau,Wheat,16.7,68.2,8.7,0
Malwa Plateau,Maize,29.3,88.0,19.8,1
Nimar Plains,Wheat,16.6,50.5,18.1,0
Central Narmada Valley,Wheat,14.9,38.8,0.0,0
Central Narmada Valley,Gram,26.1,62.3,9.4,0
Bundelkhand,Gram,26.0,35.3,8.5,0
Chhattisgarh Plains,Flaxseed,17.0,71.3,4.5,0
Chhattisgarh Plains,Flaxseed,29.0,55.7,0.9,0
Nimar Plains,Cotton,32.6,62.0,8.8,0
Satpura Highlands,Paddy,30.1,68.5,17.8,0
Nimar Plains,Soybean,32.1,90.7,31.3,1
Malwa Plateau,Maize,34.3,91.1,49.5,1
Chhattisgarh Plains,Paddy,27.8,66.8,10.2,1
Chambal Valley,Mustard,25.3,64.1,4.1,1
Malwa Plateau,Wheat,14.5,44.2,7.7,0
Bundelkhand,Wheat,19.7,56.8,1.3,0
Chambal Valley,Wheat,22.5,50.7,0.3,0
Chhattisgarh Plains,Kodo-Kutki,31.7,76.4,41.4,0
Kymore Plateau & Satpura Hills,Paddy,31.5,89.7,39.8,1
Jhabua Hills,Soybean,34.8,83.1,59.1,0
Jhabua Hills,Cotton,25.1,74.8,13.3,1
Satpura Highlands,Paddy,31.1,91.4,7.1,1
Bundelkhand,Jowar,35.0,66.1,1.9,0
Kymore Plateau & Satpura Hills,Soybean,27.8,84.1,38.0,0
Jhabua Hills,Cotton,26.1,68.5,14.1,1
Northern Hill Region of Chhattisgarh,Maize,24.7,80.9,88.2,0
Nimar Plains,Cotton,31.4,64.5,5.7,0
Kymore Plateau & Satpura Hills,Gram,22.0,86.8,6.7,0
Jhabua Hills,Black Gram,26.7,85.2,22.6,1
Central Narmada Valley,Sugarcane,27.8,76.7,22.8,0
Bundelkhand,Gram,26.9,64.3,2.3,0
Nimar Plains,Cotton,33.4,101.2,18.7,1
Bundelkhand,Wheat,30.8,35.3,1.2,1
Satpura Highlands,Coarse Millets,32.4,95.6,11.7,0
Malwa Plateau,Wheat,23.1,47.6,3.9,1
Northern Hill Region of Chhattisgarh,Niger,33.0,97.5,33.6,1
Central Narmada Valley,Wheat,28.5,49.8,2.0,0
Satpura Highlands,Coarse Millets,31.4,83.6,42.5,0
Chhattisgarh Plains,Kodo-Kutki,37.9,86.5,30.2,1
Kymore Plateau & Satpura Hills,Wheat,15.1,21.8,1.2,0
Bundelkhand,Gram,22.5,57.1,13.5,0
Chambal Valley,Wheat,11.6,51.4,22.0,0
Northern Hill Region of Chhattisgarh,Paddy,30.6,89.2,19.3,1
Malwa Plateau,Soybean,28.3,96.4,51.7,1
Central Narmada Valley,Soybean,43.0,79.4,3.9,0
Bundelkhand,Gram,27.5,50.0,4.6,0
Central Narmada Valley,Sugarcane,26.8,50.8,0.7,0
Malwa Plateau,Maize,32.9,78.1,3.0,0
Malwa Plateau,Soybean,33.2,86.6,14.8,1
Malwa Plateau,Cotton,29.6,89.4,20.2,1
Northern Hill Region of Chhattisgarh,Niger,30.4,81.5,6.1,1
Satpura Highlands,Maize,30.3,53.4,70.8,1
Satpura Highlands,Paddy,34.3,54.3,17.5,0
Central Narmada Valley,Wheat,24.6,57.2,9.8,0
Nimar Plains,Soybean,25.6,84.3,28.0,0
Vindhyan Plateau,Gram,6.2,43.7,6.7,0
Satpura Highlands,Maize,27.3,91.6,19.5,1
Chhattisgarh Plains,Kodo-Kutki,34.5,102.0,3.2,1
Chhattisgarh Plains,Kodo-Kutki,28.0,72.1,7.8,0
Jhabua Hills,Cotton,29.8,82.7,35.0,1
Chambal Valley,Wheat,27.4,42.2,1.1,0
Central Narmada Valley,Wheat,22.7,83.3,0.6,0
Kymore Plateau & Satpura Hills,Soybean,30.0,84.8,3.0,0
Chambal Valley,Sorghum,32.1,96.0,48.7,1
Chambal Valley,Sorghum,28.9,84.4,31.4,1
Central Narmada Valley,Sugarcane,34.2,89.8,15.6,1
Nimar Plains,Soybean,28.4,71.9,19.0,0
Chambal Valley,Wheat,17.9,12.1,0.1,0
Nimar Plains,Wheat,13.3,48.7,6.8,0
Vindhyan Plateau,Paddy,29.9,84.3,18.0,1
Vindhyan Plateau,Paddy,22.5,87.4,6.2,1
Jhabua Hills,Soybean,26.5,97.5,11.5,0
Chhattisgarh Plains,Flaxseed,25.6,43.9,9.2,0
Bundelkhand,Wheat,11.7,77.3,4.0,0
Kymore Plateau & Satpura Hills,Soybean,25.4,80.7,27.8,0
Chhattisgarh Plains,Flaxseed,13.8,69.6,2.5,0
Kymore Plateau & Satpura Hills,Gram,28.5,66.1,11.0,0
Central Narmada Valley,Soybean,29.6,65.4,31.5,0
Jhabua Hills,Cotton,25.6,70.6,6.0,0
Northern Hill Region of Chhattisgarh,Niger,31.5,99.3,22.0,0
Chambal Valley,Wheat,22.8,49.1,2.8,0
Nimar Plains,Soybean,35.3,88.7,6.4,1
Satpura Highlands,Maize,33.6,64.6,43.4,0
Satpura Highlands,Coarse Millets,29.4,95.7,102.3,1
Northern Hill Region of Chhattisgarh,Paddy,27.4,85.5,6.1,1
Central Narmada Valley,Soybean,33.7,77.6,43.5,0
Bundelkhand,Jowar,32.7,76.4,54.8,0
Kymore Plateau & Satpura Hills,Soybean,27.3,83.3,34.5,1
Central Narmada Valley,Sugarcane,39.8,65.9,9.1,0
Chambal Valley,Sorghum,34.9,72.8,20.9,0
Satpura Highlands,Coarse Millets,31.0,85.8,9.2,0
Chhattisgarh Plains,Kodo-Kutki,38.0,92.3,50.0,1
Nimar Plains,Wheat,28.8,42.6,2.5,0
Chambal Valley,Sorghum,31.5,54.8,5.9,1
Bundelkhand,Jowar,29.5,93.5,70.3,1
Chhattisgarh Plains,Paddy,34.8,94.1,11.7,1
Satpura Highlands,Paddy,30.6,74.2,91.5,0
Central Narmada Valley,Gram,23.8,59.0,2.7,0
Central Narmada Valley,Soybean,24.7,106.8,74.3,0
Bundelkhand,Jowar,22.0,55.4,28.9,1
Jhabua Hills,Black Gram,25.6,76.2,21.3,0
Vindhyan Plateau,Wheat,28.8,73.6,2.2,0
Jhabua Hills,Maize,26.8,78.2,23.3,1
Chhattisgarh Plains,Flaxseed,22.2,50.0,5.8,0
Kymore Plateau & Satpura Hills,Soybean,27.6,72.4,29.4,0
Nimar Plains,Wheat,18.2,37.0,2.9,0
Malwa Plateau,Cotton,28.7,87.9,20.1,1
Kymore Plateau & Satpura Hills,Soybean,29.6,64.7,1.4,1
Vindhyan Plateau,Gram,11.5,43.1,8.0,0
Jhabua Hills,Maize,28.1,75.8,7.4,0
Vindhyan Plateau,Paddy,33.4,98.0,4.2,1
Northern Hill Region of Chhattisgarh,Niger,25.7,66.5,0.1,0
Kymore Plateau & Satpura Hills,Wheat,21.6,49.4,2.5,0
Satpura Highlands,Maize,37.0,76.1,21.3,0
Jhabua Hills,Maize,28.3,89.7,19.3,1
Malwa Plateau,Cotton,28.9,90.1,5.4,1
Nimar Plains,Soybean,37.4,87.0,26.8,0
Bundelkhand,Jowar,27.9,56.4,35.9,0
Malwa Plateau,Wheat,21.3,31.2,4.3,0
Central Narmada Valley,Sugarcane,26.5,91.5,3.5,1
Satpura Highlands,Maize,29.9,94.1,13.0,1
Central Narmada Valley,Sugarcane,21.8,91.2,38.5,1
Northern Hill Region of Chhattisgarh,Wheat,18.5,61.1,6.5,0
Satpura Highlands,Maize,30.5,60.0,18.5,0
Vindhyan Plateau,Paddy,35.4,99.9,1.4,1
Malwa Plateau,Soybean,31.5,60.0,5.6,0
Jhabua Hills,Black Gram,32.8,82.2,38.5,0
Satpura Highlands,Paddy,33.0,92.0,23.9,1
Malwa Plateau,Soybean,34.7,75.6,4.7,0
Satpura Highlands,Coarse Millets,25.1,87.8,27.7,1
Satpura Highlands,Coarse Millets,24.3,89.8,47.9,1
Malwa Plateau,Cotton,29.8,74.9,6.8,0
Malwa Plateau,Wheat,21.2,36.6,1.6,0
Malwa Plateau,Maize,28.2,95.1,34.7,0
Malwa Plateau,Wheat,23.8,33.2,4.2,1
Central Narmada Valley,Soybean,30.4,95.6,37.3,1
Chhattisgarh Plains,Paddy,25.1,68.0,1.1,0
Chhattisgarh Plains,Paddy,25.6,86.6,8.8,1
Satpura Highlands,Coarse Millets,21.2,81.1,61.0,0
Vindhyan Plateau,Wheat,25.0,65.6,4.9,1
Northern Hill Region of Chhattisgarh,Niger,27.6,77.2,14.6,0
Bundelkhand,Jowar,28.1,66.1,66.0,0
Nimar Plains,Soybean,31.3,66.2,4.1,1
Nimar Plains,Soybean,23.4,80.1,15.9,0
Northern Hill Region of Chhattisgarh,Niger,31.9,98.3,58.7,1
Northern Hill Region of Chhattisgarh,Wheat,23.2,33.2,2.6,0
Bundelkhand,Jowar,26.8,92.1,8.9,0
Central Narmada Valley,Wheat,20.7,51.2,4.6,0
Vindhyan Plateau,Wheat,19.7,30.5,0.6,0
Northern Hill Region of Chhattisgarh,Maize,31.7,72.3,25.0,0
Northern Hill Region of Chhattisgarh,Paddy,28.4,78.4,6.1,0
Chhattisgarh Plains,Kodo-Kutki,37.6,82.6,13.2,0
Vindhyan Plateau,Paddy,29.3,76.3,37.9,0
Satpura Highlands,Coarse Millets,27.1,77.0,22.0,0
Chhattisgarh Plains,Kodo-Kutki,31.7,105.0,2.7,1
Chhattisgarh Plains,Flaxseed,12.2,55.7,2.8,0
Kymore Plateau & Satpura Hills,Gram,16.5,61.4,0.8,0
Nimar Plains,Wheat,12.5,51.9,22.7,0
Nimar Plains,Soybean,32.6,83.7,34.2,0
Chambal Valley,Mustard,17.6,56.3,0.3,0
Malwa Plateau,Soybean,23.9,46.0,46.0,0
Jhabua Hills,Maize,36.0,85.2,38.0,1
Jhabua Hills,Soybean,29.4,70.9,23.0,1
Northern Hill Region of Chhattisgarh,Niger,33.1,65.1,24.1,0
Nimar Plains,Sorghum,28.2,86.6,6.8,1
Chhattisgarh Plains,Flaxseed,17.1,53.4,2.2,0
Northern Hill Region of Chhattisgarh,Niger,29.5,76.5,14.4,1
Bundelkhand,Wheat,28.0,44.6,3.8,0
Satpura Highlands,Coarse Millets,25.2,75.3,4.3,1
Vindhyan Plateau,Paddy,30.4,61.8,31.0,0
Jhabua Hills,Cotton,33.6,74.0,1.3,0
Kymore Plateau & Satpura Hills,Paddy,25.4,68.2,2.4,0
Bundelkhand,Wheat,17.6,70.2,2.9,0
Kymore Plateau & Satpura Hills,Wheat,18.0,46.0,7.3,0
Northern Hill Region of Chhattisgarh,Maize,31.2,60.6,8.0,1
Central Narmada Valley,Sugarcane,30.6,91.9,44.1,1
Vindhyan Plateau,Gram,27.5,39.6,2.1,0
Central Narmada Valley,Gram,19.4,58.7,7.6,0
Chhattisgarh Plains,Kodo-Kutki,30.3,76.0,26.9,0
Malwa Plateau,Maize,24.8,86.9,9.2,1
Nimar Plains,Wheat,20.9,34.2,2.9,0
Northern Hill Region of Chhattisgarh,Paddy,25.7,95.4,40.9,0
Chambal Valley,Wheat,19.8,49.1,8.9,1
Kymore Plateau & Satpura Hills,Gram,15.5,35.5,1.6,0
Bundelkhand,Gram,18.1,29.2,0.0,0
Chhattisgarh Plains,Kodo-Kutki,25.6,70.3,29.9,0
Vindhyan Plateau,Gram,32.1,69.5,7.0,0
Kymore Plateau & Satpura Hills,Paddy,25.4,76.3,6.3,0
Vindhyan Plateau,Paddy,24.2,90.3,8.2,1
Kymore Plateau & Satpura Hills,Wheat,21.8,57.8,6.5,0
Vindhyan Plateau,Gram,16.7,40.5,1.8,1
Vindhyan Plateau,Paddy,26.8,63.9,13.1,0
Satpura Highlands,Maize,29.6,75.0,29.9,0
Central Narmada Valley,Wheat,13.5,31.5,1.9,0
Chambal Valley,Sorghum,33.4,84.1,39.1,0
Vindhyan Plateau,Wheat,14.5,45.0,6.7,0
Northern Hill Region of Chhattisgarh,Niger,28.5,77.5,122.6,0
Kymore Plateau & Satpura Hills,Soybean,33.6,102.0,50.3,1
Satpura Highlands,Maize,23.3,55.2,24.1,0
Kymore Plateau & Satpura Hills,Wheat,11.6,42.0,0.7,0
Kymore Plateau & Satpura Hills,Paddy,23.3,81.9,15.9,0
Malwa Plateau,Maize,32.7,71.3,7.3,1
Chambal Valley,Wheat,17.4,45.9,16.6,0
Chambal Valley,Wheat,23.4,49.2,2.0,0
Central Narmada Valley,Soybean,33.0,64.9,6.0,0
Bundelkhand,Lentil,21.8,31.5,2.6,0
Northern Hill Region of Chhattisgarh,Paddy,34.8,85.7,46.1,1
Bundelkhand,Wheat,26.0,63.8,3.4,0
Nimar Plains,Sorghum,35.0,75.0,22.4,0
Kymore Plateau & Satpura Hills,Soybean,32.9,54.7,45.8,0
Bundelkhand,Jowar,33.5,88.4,129.7,1
Malwa Plateau,Wheat,21.8,52.2,1.8,0
Chhattisgarh Plains,Flaxseed,18.9,58.2,0.7,0
Central Narmada Valley,Sugarcane,34.7,65.1,20.3,0
Malwa Plateau,Wheat,19.6,2.2,1.9,0
Kymore Plateau & Satpura Hills,Soybean,26.0,67.2,55.5,0
Chambal Valley,Mustard,14.2,52.7,0.5,0
Chhattisgarh Plains,Flaxseed,20.6,63.9,8.4,0
Bundelkhand,Wheat,17.8,13.9,0.7,0
Kymore Plateau & Satpura Hills,Gram,19.7,54.9,0.5,0
Vindhyan Plateau,Wheat,10.2,44.1,3.2,0
Bundelkhand,Wheat,21.4,65.9,5.9,0
Chambal Valley,Mustard,28.7,60.5,6.0,0
Vindhyan Plateau,Gram,28.8,50.0,4.8,0
Nimar Plains,Sorghum,29.7,56.6,39.8,0
Jhabua Hills,Cotton,35.0,112.2,8.3,1
Nimar Plains,Wheat,25.1,57.0,18.5,0
Kymore Plateau & Satpura Hills,Paddy,29.7,78.0,67.4,0
Chambal Valley,Wheat,15.8,33.8,4.8,0
Jhabua Hills,Cotton,36.4,86.9,11.3,1
Vindhyan Plateau,Paddy,34.0,89.0,10.3,1
Satpura Highlands,Maize,31.3,82.1,92.4,1
Central Narmada Valley,Wheat,20.5,55.2,13.3,0
Northern Hill Region of Chhattisgarh,Wheat,24.1,18.4,7.8,0
Chhattisgarh Plains,Flaxseed,25.3,42.2,3.1,0
Chambal Valley,Wheat,15.1,50.0,0.6,1
Jhabua Hills,Maize,22.8,63.7,26.9,0
Vindhyan Plateau,Wheat,20.9,57.7,15.5,0
Northern Hill Region of Chhattisgarh,Paddy,35.8,101.7,12.8,1
Malwa Plateau,Cotton,25.5,75.7,33.1,0
Northern Hill Region of Chhattisgarh,Niger,38.7,94.3,51.4,1
Jhabua Hills,Soybean,31.1,57.7,28.4,0
Nimar Plains,Sorghum,34.2,82.0,11.6,0
Kymore Plateau & Satpura Hills,Soybean,28.7,56.3,17.5,0
Central Narmada Valley,Gram,13.0,34.8,1.1,0
Northern Hill Region of Chhattisgarh,Maize,31.7,49.6,21.7,1
Nimar Plains,Sorghum,35.5,79.0,75.2,0
Nimar Plains,Sorghum,27.3,75.2,14.5,0
Satpura Highlands,Maize,29.1,76.8,15.4,0
Northern Hill Region of Chhattisgarh,Paddy,28.3,85.7,14.5,1
Vindhyan Plateau,Paddy,26.9,80.1,6.2,1
Northern Hill Region of Chhattisgarh,Paddy,28.8,79.6,7.1,1
Kymore Plateau & Satpura Hills,Soybean,29.1,79.5,16.3,0
Central Narmada Valley,Sugarcane,32.0,86.8,8.3,1
Chhattisgarh Plains,Flaxseed,27.2,28.4,0.1,0
Northern Hill Region of Chhattisgarh,Niger,32.2,62.6,12.2,1
Chambal Valley,Sorghum,34.4,75.5,3.9,0
Satpura Highlands,Coarse Millets,30.5,71.2,20.9,1
Satpura Highlands,Paddy,19.4,96.2,10.0,1
Jhabua Hills,Cotton,32.9,79.1,103.4,0
Nimar Plains,Wheat,21.6,52.0,0.8,0
Bundelkhand,Lentil,14.4,76.6,3.4,0
Vindhyan Plateau,Paddy,32.1,80.7,3.0,0
Satpura Highlands,Paddy,30.6,73.7,5.8,0
Bundelkhand,Lentil,15.5,30.3,7.6,1
Satpura Highlands,Maize,30.2,80.6,6.4,0
Chambal Valley,Sorghum,27.6,92.9,32.8,1
Chhattisgarh Plains,Paddy,31.7,85.7,50.3,0
Northern Hill Region of Chhattisgarh,Wheat,18.7,34.0,4.0,0
Kymore Plateau & Satpura Hills,Soybean,26.1,99.5,3.6,1
Kymore Plateau & Satpura Hills,Paddy,35.5,66.0,16.5,0
Chhattisgarh Plains,Kodo-Kutki,25.3,83.2,16.0,0
Bundelkhand,Jowar,34.8,72.5,20.7,0
Nimar Plains,Cotton,35.5,83.8,33.2,0
Malwa Plateau,Maize,32.4,76.9,1.6,0
Bundelkhand,Wheat,15.9,24.0,11.9,0
Central Narmada Valley,Wheat,16.6,45.3,0.7,0
Malwa Plateau,Cotton,26.4,76.1,7.3,0
Nimar Plains,Cotton,25.8,79.8,22.2,0
Chambal Valley,Sorghum,36.2,74.7,61.1,0
Chambal Valley,Mustard,15.8,40.4,1.4,0
Central Narmada Valley,Wheat,29.6,31.7,0.4,0
Northern Hill Region of Chhattisgarh,Maize,24.0,81.1,8.3,0
Nimar Plains,Soybean,34.3,87.2,67.5,0
Chambal Valley,Mustard,19.5,65.0,4.2,0
Bundelkhand,Wheat,15.1,65.1,10.6,0
Nimar Plains,Sorghum,26.7,71.4,3.7,1
Jhabua Hills,Maize,25.5,89.1,35.5,1
Bundelkhand,Gram,13.3,43.8,18.8,0
Kymore Plateau & Satpura Hills,Wheat,25.0,39.5,7.3,0
Bundelkhand,Jowar,26.1,76.6,27.8,0
Kymore Plateau & Satpura Hills,Soybean,30.1,62.5,9.4,0
Central Narmada Valley,Sugarcane,26.7,89.2,13.0,1
Jhabua Hills,Maize,35.4,71.7,56.8,1
Malwa Plateau,Maize,29.5,85.5,10.4,0
Central Narmada Valley,Sugarcane,28.6,110.0,19.7,1
Kymore Plateau & Satpura Hills,Gram,16.5,63.2,12.1,0
Central Narmada Valley,Wheat,18.0,47.7,5.5,0
Chambal Valley,Wheat,24.9,40.8,9.9,0
Northern Hill Region of Chhattisgarh,Niger,34.8,64.9,34.8,1
Vindhyan Plateau,Wheat,25.1,63.1,5.7,0
Chhattisgarh Plains,Flaxseed,19.0,77.1,9.5,0
Nimar Plains,Soybean,30.7,94.8,5.2,1
Nimar Plains,Soybean,26.6,107.5,44.1,1
Vindhyan Plateau,Gram,26.1,65.9,2.3,0
Jhabua Hills,Cotton,29.1,68.9,54.4,0
Central Narmada Valley,Gram,25.3,71.8,1.6,1
Nimar Plains,Sorghum,27.9,96.2,3.7,0
Malwa Plateau,Wheat,19.7,53.3,2.2,0
Bundelkhand,Gram,25.1,47.6,3.5,0
Central Narmada Valley,Soybean,30.9,73.3,22.6,0
Satpura Highlands,Paddy,27.5,87.0,42.9,1
Malwa Plateau,Maize,23.4,76.6,34.9,0
Bundelkhand,Gram,24.0,48.2,2.1,0
Jhabua Hills,Maize,24.4,75.1,0.0,1
Central Narmada Valley,Soybean,32.2,88.4,33.0,1
Kymore Plateau & Satpura Hills,Wheat,23.8,35.1,1.8,0
Chhattisgarh Plains,Flaxseed,24.3,65.0,1.3,0
Central Narmada Valley,Soybean,35.0,74.6,10.4,0
Kymore Plateau & Satpura Hills,Wheat,25.7,50.4,10.1,0
Northern Hill Region of Chhattisgarh,Maize,31.1,79.7,16.5,1
Jhabua Hills,Black Gram,31.0,60.5,121.1,1
Chhattisgarh Plains,Paddy,26.1,95.6,0.2,1
Chambal Valley,Sorghum,24.6,81.9,14.0,0
Chambal Valley,Wheat,24.6,45.5,11.8,0
Nimar Plains,Sorghum,29.4,76.1,8.8,0
Nimar Plains,Soybean,28.5,83.5,25.2,0
Bundelkhand,Lentil,19.5,30.6,6.7,0
Chhattisgarh Plains,Paddy,24.1,78.9,3.1,1
Chhattisgarh Plains,Paddy,27.4,69.3,8.5,0
Vindhyan Plateau,Wheat,13.9,52.4,5.9,0
Malwa Plateau,Wheat,22.4,65.3,2.6,0
Satpura Highlands,Maize,29.1,71.1,13.3,0
Northern Hill Region of Chhattisgarh,Paddy,28.5,78.5,4.9,0
Nimar Plains,Cotton,31.6,73.4,2.9,1
Kymore Plateau & Satpura Hills,Soybean,27.3,94.1,24.7,1
Bundelkhand,Wheat,21.4,62.9,8.3,0
Malwa Plateau,Wheat,25.2,28.7,2.2,0
Bundelkhand,Gram,17.8,67.7,0.7,0
Northern Hill Region of Chhattisgarh,Wheat,25.9,75.1,6.0,1
Chhattisgarh Plains,Paddy,29.5,63.4,16.0,0
Bundelkhand,Lentil,13.4,44.3,2.7,0
Northern Hill Region of Chhattisgarh,Paddy,31.8,88.5,11.2,0
Nimar Plains,Cotton,24.3,82.7,19.6,0
Nimar Plains,Sorghum,24.3,73.0,41.8,0
Malwa Plateau,Wheat,29.4,74.3,6.3,1
Bundelkhand,Lentil,17.9,46.7,10.5,0
Vindhyan Plateau,Paddy,24.8,85.2,55.2,0
Vindhyan Plateau,Wheat,33.4,51.0,4.3,0
Chhattisgarh Plains,Flaxseed,22.0,45.3,0.5,0
Northern Hill Region of Chhattisgarh,Maize,32.9,63.2,44.2,0
Malwa Plateau,Soybean,22.8,85.8,14.1,1
Chambal Valley,Sorghum,32.0,85.4,106.3,1
Central Narmada Valley,Gram,22.8,19.7,0.2,0
Malwa Plateau,Wheat,26.7,22.8,3.1,0
Vindhyan Plateau,Gram,21.5,74.3,1.1,0
Northern Hill Region of Chhattisgarh,Paddy,24.0,78.9,85.5,0
Chhattisgarh Plains,Kodo-Kutki,26.5,48.9,57.1,0
Jhabua Hills,Black Gram,25.9,78.2,5.8,0
Bundelkhand,Gram,24.8,56.9,4.0,0
Chhattisgarh Plains,Kodo-Kutki,36.1,87.9,36.7,1
Chambal Valley,Wheat,20.1,61.0,3.4,0
Bundelkhand,Jowar,31.4,93.0,9.9,1
Chambal Valley,Wheat,22.3,44.3,0.4,0
Satpura Highlands,Coarse Millets,33.1,73.5,33.7,0
Nimar Plains,Soybean,28.3,71.3,18.2,0
Nimar Plains,Soybean,31.6,82.3,33.6,0
Kymore Plateau & Satpura Hills,Paddy,26.2,87.3,2.4,1
Northern Hill Region of Chhattisgarh,Maize,30.5,77.9,41.7,0
Kymore Plateau & Satpura Hills,Soybean,32.2,69.7,31.1,1
Bundelkhand,Wheat,15.8,58.8,2.0,0
Nimar Plains,Soybean,27.8,62.2,8.2,0
Vindhyan Plateau,Wheat,17.0,61.4,7.4,0
Central Narmada Valley,Soybean,31.8,59.6,10.7,1
Jhabua Hills,Soybean,21.7,80.3,33.4,0
Central Narmada Valley,Sugarcane,30.6,73.9,1.6,0
Jhabua Hills,Cotton,25.9,73.8,8.3,0
Malwa Plateau,Maize,32.8,89.5,15.3,1
Northern Hill Region of Chhattisgarh,Wheat,23.6,42.0,2.4,1
Nimar Plains,Soybean,28.2,95.9,13.8,1
Kymore Plateau & Satpura Hills,Soybean,29.1,69.9,24.0,1
Central Narmada Valley,Soybean,25.1,66.5,2.8,0
Northern Hill Region of Chhattisgarh,Wheat,28.0,62.0,1.7,0
Satpura Highlands,Maize,36.5,78.6,8.3,0
Jhabua Hills,Black Gram,29.9,71.7,61.0,0
Central Narmada Valley,Wheat,14.7,39.6,3.6,0
Bundelkhand,Lentil,21.1,75.1,9.9,0
Satpura Highlands,Coarse Millets,30.5,88.5,3.4,1
Nimar Plains,Wheat,20.7,31.6,1.1,0
Nimar Plains,Cotton,33.5,74.4,16.2,0
Chambal Valley,Sorghum,25.8,84.6,11.7,0
Northern Hill Region of Chhattisgarh,Paddy,29.6,77.0,15.8,0
Chhattisgarh Plains,Flaxseed,18.1,45.4,1.1,0
Vindhyan Plateau,Gram,26.6,46.6,10.8,0
Satpura Highlands,Maize,35.4,98.0,3.2,1
Bundelkhand,Wheat,16.9,6.6,8.4,0
Central Narmada Valley,Sugarcane,25.0,86.8,24.7,1
Chambal Valley,Wheat,15.7,25.7,1.4,0
Central Narmada Valley,Sugarcane,26.0,59.5,6.8,0
Nimar Plains,Cotton,31.8,88.0,19.6,1
Bundelkhand,Wheat,18.5,88.6,0.7,0
Northern Hill Region of Chhattisgarh,Niger,29.4,76.2,16.1,0
Northern Hill Region of Chhattisgarh,Paddy,27.6,78.4,21.9,1
Kymore Plateau & Satpura Hills,Paddy,36.7,92.0,13.6,1
Nimar Plains,Wheat,18.8,50.0,5.9,0
Jhabua Hills,Cotton,30.3,47.4,60.2,0
Nimar Plains,Soybean,28.2,100.8,69.9,1
Vindhyan Plateau,Gram,17.4,53.7,9.9,0
Malwa Plateau,Cotton,21.2,95.8,52.5,1
Kymore Plateau & Satpura Hills,Paddy,27.4,81.0,89.3,0
Malwa Plateau,Soybean,31.8,92.0,23.9,1
Vindhyan Plateau,Gram,12.3,47.6,0.9,0
Bundelkhand,Gram,13.4,49.1,11.1,0
Central Narmada Valley,Gram,21.4,42.4,1.7,0
Satpura Highlands,Paddy,29.6,66.7,23.3,0
Chambal Valley,Wheat,19.2,64.0,3.8,0
Northern Hill Region of Chhattisgarh,Wheat,25.5,26.5,13.1,1
Kymore Plateau & Satpura Hills,Soybean,23.0,75.5,79.8,0
Bundelkhand,Lentil,15.1,35.5,2.6,1
Chambal Valley,Wheat,16.0,52.2,0.8,0
Central Narmada Valley,Wheat,15.7,33.1,0.5,0
Kymore Plateau & Satpura Hills,Soybean,29.4,85.2,21.1,1
Malwa Plateau,Wheat,20.2,58.4,0.1,0
Vindhyan Plateau,Gram,21.6,22.9,3.8,0
Vindhyan Plateau,Wheat,17.4,45.5,1.8,0
Chambal Valley,Wheat,26.4,40.9,0.9,0
Nimar Plains,Soybean,29.8,77.9,18.0,0
Vindhyan Plateau,Paddy,32.4,71.2,6.7,0
Kymore Plateau & Satpura Hills,Soybean,34.9,80.5,2.1,0
Chhattisgarh Plains,Flaxseed,18.2,57.9,3.0,1
Bundelkhand,Lentil,15.1,45.6,1.5,0
